14837KMSN MSN20050401081009404/01/05 08:10:31  5-MIN KMSN 011410Z 00000KT 10SM CLR 06/01 A3009 710 73  -200 000/00 RMK AO2
14837KMSN MSN20050401081509404/01/05 08:15:31  5-MIN KMSN 011415Z 00000KT 10SM CLR 06/01 A3008 710 73  -200 000/00 RMK AO2
14837KMSN MSN20050401082009404/01/05 08:20:31  5-MIN KMSN 011420Z 00000KT 10SM CLR 06/01 A3008 710 70  -100 000/00 RMK AO2
14837KMSN MSN20050401082509404/01/05 08:25:31  5-MIN KMSN 011425Z 00000KT 10SM CLR 06/01 A3008 720 70  -100 000/00 RMK AO2
14837KMSN MSN20050401083009404/01/05 08:30:31  5-MIN KMSN 011430Z 00000KT 10SM CLR 06/01 A3008 720 70  -100 000/00 RMK AO2
14837KMSN MSN20050401083509404/01/05 08:35:31  5-MIN KMSN 011435Z 00000KT 10SM CLR 06/01 A3008 720 70  -100 000/00 RMK AO2
14837KMSN MSN20050401084009004/01/05 08:40:31  5-MIN KMSN 011440Z 00000KT 10SM CLR 07/01 A3008 720 67 0 000/00 RMK AO2
14837KMSN MSN20050401084509004/01/05 08:45:31  5-MIN KMSN 011445Z 00000KT 10SM CLR 07/01 A3007 720 65 0 000/00 RMK AO2
14837KMSN MSN20050401085011304/01/05 08:50:31  5-MIN KMSN 011450Z 00000KT 10SM CLR 07/01 A3007 720 65 0 000/00 RMK AO2 SLP189 T00720011 51008
14837KMSN MSN20050401085510104/01/05 08:55:31  5-MIN KMSN 011455Z 00000KT 10SM FEW025 SCT080 07/01  A3007 730 62 0 000/00 RMK AO2
14837KMSN MSN20050401090010104/01/05 09:00:31  5-MIN KMSN 011500Z 00000KT 10SM FEW025 SCT080 07/01  A3007 720 65 0 000/00 RMK AO2
14837KMSN MSN20050401090510104/01/05 09:05:31  5-MIN KMSN 011505Z 00000KT 10SM FEW025 SCT080 07/01  A3007 720 65 0 000/00 RMK AO2
14837KMSN MSN20050401091010104/01/05 09:10:31  5-MIN KMSN 011510Z 00000KT 10SM FEW025 SCT080 07/01  A3007 720 65 0 000/00 RMK AO2
14837KMSN MSN20050401091510304/01/05 09:15:31  5-MIN KMSN 011515Z 00000KT 10SM FEW025 SCT080 08/01  A3007 720 62 100 000/00 RMK AO2
14837KMSN MSN20050401092010304/01/05 09:20:31  5-MIN KMSN 011520Z VRB03KT 10SM FEW025 SCT080 08/01  A3007 720 62 100 VRB/03 RMK AO2
14837KMSN MSN20050401092510304/01/05 09:25:31  5-MIN KMSN 011525Z 00000KT 10SM FEW025 SCT080 08/01  A3008 720 58 100 000/00 RMK AO2
14837KMSN MSN20050401093010304/01/05 09:30:31  5-MIN KMSN 011530Z 24004KT 10SM FEW025 SCT080 08/01  A3008 720 58 100 240/04 RMK AO2
14837KMSN MSN20050401093510304/01/05 09:35:31  5-MIN KMSN 011535Z 23004KT 10SM FEW025 SCT080 08/01  A3008 720 58 100 230/04 RMK AO2
14837KMSN MSN20050401094010304/01/05 09:40:31  5-MIN KMSN 011540Z 24004KT 10SM FEW025 SCT080 08/01  A3008 720 58 100 240/04 RMK AO2
14837KMSN MSN20050401094510304/01/05 09:45:31  5-MIN KMSN 011545Z 23004KT 10SM FEW025 SCT080 08/01  A3008 720 58 100 230/04 RMK AO2
14837KMSN MSN20050401095012004/01/05 09:50:31  5-MIN KMSN 011550Z 23005KT 10SM FEW025 SCT080 08/01  A3007 720 58 100 230/05 RMK AO2 SLP190 T00830006
